slug	name_en	quote_en	quote_zh	source_note	source_url	core_traits	thinking_style	temperament_tags	temperament_summary	loading_copy_zh	loading_copy_en	bio_zh	bio_en	achievements_zh	achievements_en
georg_cantor	Georg Cantor	The essence of mathematics lies entirely in its freedom.	数学的本质在于它的自由。	中文现成译法见中文网络转载/文章（康托尔名言）	https://cloud.tencent.com/developer/article/1940580	无限观、边界突破、抽象勇气、概念开疆	敢于把思想推入别人不愿进入的抽象边界，用新概念重画整个问题空间。	绝对抽象、孤勇突破、边界执念、悲剧感	像一个宁可把自己推到边界外，也要为新概念开疆拓土的人，孤绝而壮阔。	Cantor 正在替你数一数，连无限也别想逃过登记……	Cantor is making a register for your ideas, and not even infinity gets to escape counting...	德国数学家，以极具革命性的方式重塑了数学对无穷的理解。	A German mathematician who radically transformed how mathematics understands the infinite.	创立集合论｜提出超穷数与基数理论｜推动现代数学基础问题讨论	Founded set theory | Introduced transfinite numbers and cardinal theory | Pushed modern debates on the foundations of mathematics
gh_hardy	G. H. Hardy	A mathematician, like a painter or a poet, is a maker of patterns.	数学家，就像画家、诗人一样，都是模式的创造者。	中文现成译法见《一个数学家的辩白》中文网络转载	https://blog.csdn.net/u013669912/article/details/155500245	审美优先、纯粹主义、模式敏感、证明品味	把数学首先看成形式与美的事业，偏好优雅模式而非功利性结果。	审美洁癖、纯粹主义、克制傲气、智性优雅	像一个把数学首先当作审美事业来对待的人，冷而高贵，对粗糙极不耐烦。	Hardy 正在挑剔地检查你的证明有没有偷懒……	Hardy is sternly checking whether your proof has tried to cut any corners...	英国数学家，强调纯数学的严格与优雅，也是 Ramanujan 的重要合作伙伴。	A British mathematician who championed rigor and elegance in pure mathematics, and an important collaborator of Ramanujan.	推动解析数论发展｜与 Littlewood 建立高产合作｜识别并支持 Ramanujan 的天赋	Advanced analytic number theory | Built a famously productive partnership with Littlewood | Recognized and supported Ramanujan's genius
godel	Kurt Godel	Either mathematics is too big for the human mind, or the human mind is more than a machine.	要么数学对于人类心智来说过于庞大，要么人类心智本身就不止是一台机器。	As quoted in Hao Wang, Reflections on Kurt Godel (1987)	https://en.wikiquote.org/wiki/Kurt_G%C3%B6del	极限意识、自指敏感、深层怀疑、逻辑穿透	总在系统最深层寻找不可避免的裂缝，擅长从内部规则推出其自身边界。	内向冷峻、深层怀疑、逻辑极限感、孤绝	像一个总在系统最深处寻找裂缝的人，安静、顽固，带着几乎不可接近的密度。	Godel 正在提醒大家：系统看起来完整，不代表真的完整……	Godel is reminding everyone that a system looking complete does not mean it truly is complete...	奥地利裔逻辑学家，以极强的形式敏感度挑战了现代数学基础的乐观主义。	An Austrian logician whose extraordinary sensitivity to formal structure challenged optimistic views of mathematical foundations.	提出不完备定理｜证明一阶逻辑的完备性｜深刻影响逻辑、哲学与计算理论	Proved the incompleteness theorems | Proved the completeness of first-order logic | Deeply influenced logic, philosophy, and computation theory
grigori_perelman	Grigori Perelman	If the proof is correct, then no other recognition is needed.	如果证明是正确的，那就不需要任何别的认可。	As quoted in Euler's Gem (2012)	https://en.wikiquote.org/wiki/Grigori_Perelman	深潜执拗、纯问题导向、抗外界干扰、证明洁癖	只围绕核心问题长期下潜，不愿被名望、合作或外部节奏打断。	独行、反名望、深潜执拗、冷硬纯问题导向	像一个只对问题本身负责的人，对外部评价体系几乎天然免疫。	Perelman 正安静地坐在角落里，只在关键一步给你答案……	Perelman is sitting quietly in the corner, saving the decisive step for exactly the right moment...	俄罗斯数学家，以极端专注和低调著称，解决了几何拓扑中的世纪难题。	A Russian mathematician known for extreme focus and reserve, who solved one of the century's hardest problems in geometry and topology.	完成 Poincare 猜想证明｜推进 Hamilton 的 Ricci flow 方案｜拒绝菲尔兹奖与克雷奖金	Completed the proof of the Poincare conjecture | Pushed Hamilton's Ricci flow program forward | Declined the Fields Medal and the Clay Millennium Prize
grothendieck	Alexander Grothendieck	One does not need to have specific examples in mind in order to think about mathematics.	思考数学，并不需要脑中先摆着某个具体例子。	Commonly quoted in reminiscences about Grothendieck	https://en.wikiquote.org/wiki/Alexander_Grothendieck	体系扩张、语言重造、抽象深潜、地基重建	面对问题时倾向重造框架与语言，而不是在既有结构里做局部修补。	自成宇宙、体系扩张、抽象深潜、疏离	像一个不愿在旧地基上修补，而宁可重造整套语言与世界的人，宏大且疏离。	Grothendieck 正在把你的小问题抬升到一个更高的宇宙层级……	Grothendieck is lifting your small problem into a much larger universe of structure...	法籍数学家，擅长用全新的抽象框架重写整个问题空间。	A French mathematician known for rewriting entire problem spaces through radically new abstract frameworks.	重塑现代代数几何框架｜发展 scheme 与 topos 等核心概念｜影响几代纯数学研究者	Reshaped modern algebraic geometry | Developed core ideas such as schemes and topoi | Influenced generations of pure mathematicians
herbert_simon	Herbert A. Simon	What information consumes is rather obvious: it consumes the attention of its recipients. Hence a wealth of information creates a poverty of attention, and a need to allocate that attention efficiently among the overabundance of information sources that might consume it.	在信息丰富的世界里，信息的丰富意味其他东西的匮乏：信息消费掉的东西的稀缺。信息消费掉什么是显而易见的：它消费了信息接受者的注意力。因此，大量的信息造成了人们的注意力的贫乏，因此需要在过量的消耗注意力的信息来源中高效地分配注意力。	中文现成译法引自中文维基百科“注意力经济”条目，对应 Simon 1971, pp. 40–41	https://zh.wikipedia.org/wiki/%E6%B3%A8%E6%84%8F%E5%8A%9B%E7%B6%93%E6%BF%9F	决策框架、组织意识、跨域建模、有限理性	擅长把复杂行为拆成可管理的决策结构，用框架而非灵感处理复杂度。	工程理性、跨域组织、温和务实、决策框架感	像一个不断把复杂人类活动整理成可操作结构的人，务实、清醒、组织感很强。	Herbert Simon 正在评估：你到底是理性，还是有限理性……	Herbert Simon is evaluating whether you are being rational, or only boundedly rational...	美国学者，横跨计算机、心理学、管理学与经济学，真正意义上的跨界研究者。	An American scholar who moved across computer science, psychology, management, and economics with unusual ease.	提出有限理性理论｜推动早期人工智能研究｜因决策理论获诺贝尔经济学奖	Introduced bounded rationality | Advanced early artificial intelligence research | Won the Nobel Prize in Economics for decision theory
hermann_weyl	Hermann Weyl	My work always tried to unite the true with the beautiful, but when I had to choose one or the other, I usually chose the beautiful.	我的工作始终试图把真与美统一起来；但当我不得不在两者之间做选择时，我通常会选择美。	As quoted in Hermann Weyl, 1885–1985 (1986)	https://en.wikiquote.org/wiki/Hermann_Weyl	真美统一、哲思抽象、跨域联通、形式感	在抽象结构、物理图景与哲学意味之间来回穿梭，追求真与美的同时成立。	真与美统一、哲思型、克制高雅、跨域抽象	像一个始终想把真理与美感一起保留下来的人，抽象而不失贵气。	Weyl 正在给你的想法配上一层对称性的滤镜……	Weyl is placing a symmetry filter over your ideas to see what suddenly aligns...	德国数学家与理论物理学家，擅长在几何、代数与物理之间寻找统一。	A German mathematician and theoretical physicist gifted at finding unity across geometry, algebra, and physics.	推动群表示与几何研究｜提出早期规范场思想｜在数学物理桥梁建设中影响深远	Advanced group representation theory and geometry | Introduced early gauge-field ideas | Helped build the bridge between mathematics and physics
hilbert	David Hilbert	We must know. We will know.	我们必须知道，我们必将知道。	中文现成译法引自 zh.wikiquote：大卫·希尔伯特	https://zh.wikiquote.org/wiki/%E5%A4%A7%E5%8D%AB%C2%B7%E5%B8%8C%E5%B0%94%E4%BC%AF%E7%89%B9	体系建构、纲领意识、形式秩序、组织能力	不仅解决单个问题，更倾向为整片领域制定问题表和方法边界。	体系建构、宣言式、自信外放、秩序感强	像一个不仅要解决问题，还要为整片领域立法的人，强势、明亮、组织力极高。	Hilbert 正在把你的问题整理成一份像样的世纪清单……	Hilbert is reorganizing your question into a respectable century-defining list...	德国数学家，二十世纪初数学共同议程的重要塑造者。	A German mathematician who helped set the shared agenda of mathematics at the start of the twentieth century.	提出著名的 23 个问题｜推动形式主义数学观｜Hilbert 空间成为现代分析核心工具	Posed the famous 23 problems | Advanced the formalist view of mathematics | Hilbert spaces became a core tool of modern analysis
isaac_newton	Isaac Newton	Hypotheses non fingo.	我不做假设。	中文现成译法引自 zh.wikiquote：艾萨克·牛顿	https://zh.wikiquote.org/wiki/%E8%89%BE%E8%90%A8%E5%85%8B%C2%B7%E7%89%9B%E9%A1%BF	第一性奠基、强内驱、统一欲、独立推演	习惯独自从最基础原则出发推演出完整体系，追求把多个现象压入同一法则。	内燃孤绝、控制欲强、神秘克制、奠基者气质	像一个把巨大能量都压在内部、只在结果层面显露的人，冷、硬、不可撼动。	Newton 正在把苹果、行星和你脑中的问题绑进同一套方程……	Newton is tying apples, planets, and the problem in your head into one system of equations...	英国科学家，在数学、力学与光学上都建立了近代科学的关键支柱。	A British scientist who established essential pillars of modern science across mathematics, mechanics, and optics.	提出经典力学三定律｜建立万有引力理论｜在微积分与光学研究中开创时代	Formulated the three laws of motion | Built the theory of universal gravitation | Opened new eras in calculus and optics
john_bardeen	John Bardeen	Further, science is a collaborative effort.	而且，科学本质上是一项协作性的事业。	Nobel Banquet Speech (1972)	https://www.nobelprize.org/prizes/physics/1972/bardeen/biographical/	协作精密、低调稳定、工程深度、长期打磨	靠持续而精密的协作推进复杂问题，少做姿态，多做关键结构性突破。	低调协作、稳定精密、工程耐心、少说多做	像一个不靠传奇姿态取胜，而靠长期稳定的精密工作改变世界的人。	Bardeen 正在低调地做出第二次诺奖级修补……	Bardeen is quietly delivering another Nobel-level repair without making a fuss...	美国物理学家，以沉稳务实著称，是少数两获诺贝尔物理学奖的人。	An American physicist known for calm practicality, and one of the very few people to win two Nobel Prizes in Physics.	共同发明晶体管｜共同建立 BCS 超导理论｜两次获得诺贝尔物理学奖	Co-invented the transistor | Co-developed BCS theory of superconductivity | Won the Nobel Prize in Physics twice
john_conway	John Horton Conway	Then, when I discovered surreal numbers, I realized that playing games IS mathematics.	后来，当我发现超现实数时，我意识到：玩游戏本身就是数学。	As quoted in accounts of Conway's talks and biography	https://en.wikiquote.org/wiki/John_Horton_Conway	游戏化、构造直觉、跳跃联想、发明性	擅长把复杂抽象对象变成可玩的构造或规则系统，在玩中发现深结构。	游戏发明、跳跃灵动、怪才亲和、智性顽皮	像一个把最严肃的数学和最孩子气的游戏感连在一起的人，灵、怪、极有感染力。	Conway 正在把你的念头偷偷变成一场会自我繁殖的游戏……	Conway is secretly turning your thought into a game that reproduces itself...	英国数学家，以游戏感、想象力和高强度即兴思考著称。	A British mathematician famous for playfulness, imagination, and intense improvisational thinking.	提出生命游戏｜发展超现实数理论｜在群论与组合数学中留下大量成果	Created the Game of Life | Developed the theory of surreal numbers | Produced major work in group theory and combinatorics
lise_meitner	Lise Meitner	Science makes people reach selflessly for truth and objectivity.	科学让人无私地追求真理与客观性。	Widely quoted remark attributed to Lise Meitner	https://media.nationalgeographic.org/assets/file/breakthrough_quote_1.pdf	机制洞察、坚韧判断、克制清醒、科学尊严	在复杂情境中依然坚持从物理机制本身出发，判断稳、解释清、不过度表演。	坚韧克制、道德清醒、科学尊严、冷静承压	像一个在高压与失衡环境中仍保持判断与尊严的人，硬度来自内在而非姿态。	Lise Meitner 正在冷静核对：真正的关键解释是不是还没写进去……	Lise Meitner is calmly checking whether the crucial explanation is still missing from the page...	奥地利裔瑞典物理学家，在核物理发展中扮演了关键而长期被低估的角色。	An Austrian-Swedish physicist who played a crucial yet long-underrecognized role in the development of nuclear physics.	解释核裂变物理机制｜推动放射性与核物理研究｜成为女性科学史的重要象征人物	Explained the physical mechanism of nuclear fission | Advanced radioactivity and nuclear physics research | Became an important symbolic figure in the history of women in science
marvin_minsky	Marvin Minsky	You don't understand anything until you learn it more than one way.	如果只用一种方式了解某样事物，你就不会真正了解它。	中文现成译法见中文网络既有转述/讨论（Zhihu 问题标题常见译法）	https://www.zhihu.com/question/58728226	多模型理解、认知工程、挑衅启发、反单一路径	倾向用多个模型并置理解同一问题，认为单一路径的理解通常还不够深。	认知工程、挑衅式启发、多路径理解、外放智性	像一个总想拆掉单一路径、逼你从多个角度重新理解问题的人，锋利而带玩笑感。	Minsky 正在召集你脑内的小代理们开一场紧急会议……	Minsky is calling an emergency meeting among all the tiny agents in your mind...	美国认知科学家与人工智能先驱，长期思考心智如何由多模块协作构成。	An American cognitive scientist and AI pioneer who spent decades thinking about how mind emerges from many interacting modules.	共同创建 MIT AI Lab｜提出《心智社会》框架｜推动早期人工智能研究议程	Co-founded the MIT AI Lab | Proposed the Society of Mind framework | Helped set the agenda for early AI research
max_planck	Max Planck	Science advances one funeral at a time.	新科学真理的胜利，通常不是靠让反对者信服并看见光明；而是因为反对者终于都死了，熟悉真理的新一代成长起来了。	马克斯·普朗克《科学自传》/ zh.wikiquote 收录	https://zh.wikiquote.org/wiki/%E9%A9%AC%E5%85%8B%E6%96%AF%C2%B7%E6%99%AE%E6%9C%97%E5%85%8B	稳定推进、范式敏感、原则感、耐压	在看似稳固的体系中识别必须改变的地方，以克制方式推动范式拐点。	稳定权威、克制坚硬、范式转折见证者、耐压	像一个站得极稳、但能承受时代慢慢翻面的学者，沉着、坚硬、很少夸张。	Planck 正在把连续的直觉悄悄切成一小份一小份……	Planck is quietly slicing your continuous intuition into tiny discrete pieces...	德国物理学家，量子论的起点人物之一，以谨慎而坚定的方式推动物理革命。	A German physicist and one of the starting figures of quantum theory, pushing a revolution in physics with careful determination.	提出量子假设｜解释黑体辐射问题｜为量子物理奠定开端	Proposed the quantum hypothesis | Explained blackbody radiation | Helped launch quantum physics
michael_faraday	Michael Faraday	Nothing is too wonderful to be true, if it be consistent with the laws of nature.	只要它与自然规律相一致，再奇妙的事情也可能是真的。	Laboratory journal entry #10040 (1849)	https://en.wikiquote.org/wiki/Michael_Faraday	实验直觉、手作构造、纯净好奇、长期专注	通过反复实验和亲手构造触摸规律，先让现象在手上变得可靠再谈理论。	手作实验、谦逊热情、纯净好奇、长期专注	像一个靠双手和专注把奇迹一点点做出来的人，朴素、虔诚、发光但不张扬。	Faraday 正在靠实验台和线圈替你确认这件事到底通不通电……	Faraday is using the lab bench and a coil to see whether this idea actually conducts...	英国实验物理学家与化学家，以卓越直觉和实验才能改变了电磁学。	A British experimental physicist and chemist whose intuition and laboratory brilliance transformed electromagnetism.	发现电磁感应｜推动电动机与发电机原理发展｜奠定电化学基础术语	Discovered electromagnetic induction | Advanced the principles behind motors and generators | Established foundational electrochemical terminology
niels_bohr	Niels Bohr	Every sentence I utter should be regarded not as an assertion but as a question.	我说的每一句话都不应认为是断言，而应是问题。	尼尔斯·波耳《语录》	https://zh.wikiquote.org/wiki/%E5%B0%BC%E7%88%BE%E6%96%AF%C2%B7%E6%B3%A2%E8%80%B3	悖论意识、互补观、缓慢逼近、对话思考	面对复杂问题时不急着消灭矛盾，而是保留张力，通过迂回讨论逼近本质。	悖论思辨、温和绕行、含混自觉、强互动型	像一个明知问题不能被直线说清、仍坚持绕着它慢慢逼近的人，柔和却极深。	Bohr 正在提醒大家：看起来矛盾，不代表不能同时成立……	Bohr is reminding everyone that seeming contradictions do not always have to cancel each other out...	丹麦物理学家，量子理论思想史中的核心人物，擅长处理互补与边界。	A Danish physicist at the center of quantum theory's intellectual history, especially gifted at thinking about complementarity and limits.	提出 Bohr 原子模型｜发展互补原理｜塑造哥本哈根学派的量子解释框架	Proposed the Bohr atomic model | Developed the principle of complementarity | Shaped the Copenhagen interpretation of quantum theory
nikola_tesla	Nikola Tesla	The present is theirs; the future, for which I really worked, is mine.	当下是他们的，而我致力于研究的未来，是我的。	中文现成译法引自 zh.wikiquote：尼古拉·特斯拉	https://zh.wikiquote.org/wiki/%E5%B0%BC%E5%8F%A4%E6%8B%89%C2%B7%E7%89%B9%E6%96%AF%E6%8B%89	发明愿景、整体想象、未来执念、非现实感	先在脑中把系统整体运转起来，再追求把它带进现实，重愿景胜过稳妥路径。	未来执念、戏剧化、孤绝发明家、高压外放	像一个总活在尚未到来的未来里的人，耀眼、偏执、带着强烈的传奇电流感。	Tesla 正在把你的灵感接上高压交流，再看能不能点亮整座城……	Tesla is plugging your inspiration into high-voltage AC to see whether it can light up the whole city...	塞尔维亚裔美籍发明家与工程师，以宏大技术想象和强烈发明欲闻名。	A Serbian-American inventor and engineer known for large-scale technological imagination and an intense drive to invent.	推动交流电系统普及｜发明交流感应电动机｜在高压与无线传输实验上留下传奇形象	Helped popularize alternating-current power systems | Invented the AC induction motor | Became legendary through high-voltage and wireless transmission experiments
noether	Emmy Noether	My methods are really methods of working and thinking; this is why they have crept in everywhere anonymously.	我的方法，本质上是工作与思考的方法；正因如此，它们才会匿名地渗透到各处。	As quoted in MacTutor quotations on Emmy Noether	https://mathshistory.st-andrews.ac.uk/Biographies/Noether_Emmy/quotations/	结构本能、方法渗透、抽象统一、关系敏感	擅长抓住不同对象背后的结构共性，让方法本身成为最有穿透力的答案。	方法渗透、结构本能、克制坚实、共研型	像一个不靠自我神话，而靠方法本身进入一切的人，安静、结实、影响深远。	Noether 正在从对称性里拎出你问题的真正守恒量……	Noether is pulling the real conserved quantity out of the symmetry hidden in your question...	德国数学家，对现代代数和理论物理的深层结构都产生了决定性影响。	A German mathematician whose work decisively shaped both modern algebra and the deep structure of theoretical physics.	提出 Noether 定理｜推动抽象代数现代化｜在不变量理论中留下关键成果	Formulated Noether's theorem | Modernized abstract algebra | Produced key work in invariant theory
